id,市区町村,都道府県,面積(km2),経度,緯度
4019,亘理郡山元町,宮城県,64.42,140.88558,37.94573
4020,石巻市,宮城県,552.5,141.3666,38.4865
4021,遠田郡涌谷町,宮城県,82.1,141.15384,38.5592
4022,遠田郡美里町,宮城県,75.04,141.09288,38.52025
4023,Onagawa,宮城県,64.41,141.45063,38.44209
4024,宮城郡松島町,宮城県,53.43,141.07571,38.40372
4025,黒川郡大郷町,宮城県,81.87,140.99998,38.43431
4026,宮城郡利府町,宮城県,44.86,140.98631,38.34234
4027,富谷市,宮城県,49.29,140.90135,38.37952
4028,多賀城市,宮城県,19.52,140.99894,38.29529
4029,塩竈市,宮城県,15.76,141.02226,38.32352
4030,宮城郡七ヶ浜町,宮城県,13.19,141.05955,38.29977
4031,柴田郡村田町,宮城県,78.27,140.73004,38.12716
4032,名取市,宮城県,97.95,140.86681,38.16731
4033,柴田郡大河原町,宮城県,25.0,140.71514,38.05205
4034,Shibara,宮城県,54.16,140.78775,38.08563
4035,岩沼市,宮城県,60.97,140.87467,38.10941
5001,山本郡八峰町,秋田県,234.17,140.0684,40.36246
5002,大館市,秋田県,912.23,140.55466,40.29018
5003,鹿角郡小坂町,秋田県,204.7,140.78141,40.4004
5004,鹿角市,秋田県,707.08,140.83033,40.2105
5005,山本郡藤里町,秋田県,281.84,140.25086,40.35944
5006,能代市,秋田県,426.49,140.14476,40.20287
5007,北秋田市,秋田県,1151.67,140.46464,40.05519
5008,北秋田郡上小阿仁村,秋田県,256.76,140.31853,39.96204
5009,Mitane,秋田県,247.92,140.10663,40.07071
5010,Semboku,秋田県,1092.84,140.66858,39.76053
5011,秋田市,秋田県,905.57,140.23203,39.71046
5012,南秋田郡五城目町,秋田県,215.37,140.20611,39.92675
5013,大仙市,秋田県,865.38,140.44129,39.53713
5014,南秋田郡八郎潟町,秋田県,18.36,140.08048,39.9594
5015,南秋田郡大潟村,秋田県,169.42,140.00189,40.00159
5016,男鹿市,秋田県,244.44,139.83647,39.93793
5017,潟上市,秋田県,107.67,140.04892,39.87213
5018,南秋田郡井川町,秋田県,55.17,140.1206,39.89537
5019,由利本荘市,秋田県,1208.95,140.16494,39.29348
5020,仙北郡美郷町,秋田県,167.45,140.59592,39.42852
5021,横手市,秋田県,692.87,140.54424,39.28373
5022,雄勝郡羽後町,秋田県,230.52,140.35002,39.1839
5023,湯沢市,秋田県,789.71,140.54259,39.03661
5024,にかほ市,秋田県,240.96,139.97301,39.19682
5025,雄勝郡東成瀬村,秋田県,203.65,140.72772,39.10204
6001,最上郡真室川町,山形県,373.73,140.24361,38.95615
6002,酒田市,山形県,601.88,139.98616,38.92361
6003,Yuza,山形県,208.06,139.95152,39.05838
6004,Kaneyama,山形県,161.57,140.37169,38.90284
6005,新庄市,山形県,222.78,140.33994,38.78822
